time(min),L,k,xlog,R²,MSE,K(m^2),mobility,vel_at_4mm,L_s,k_s,xlog_s
10.0,-905414.562,1167.25,0.0062715551954402,1.0,159475.53,1.33e-14,1.33e-11,-7.935488478477248e-07,-15.174886462359861,4.668998305995997,1.56788879886005
20.0,-342419.672,1011.302,0.004934021826152488,0.999,545901.862,1.32e-14,1.32e-11,-1.2654767636283033e-06,-5.695855621776158,4.045208748995996,1.2335054565381218
30.0,-301567.927,943.406,0.0043611292673401865,0.999,2282145.342,1.32e-14,1.32e-11,-1.6545428804118964e-06,-5.016322123020659,3.7736226050445323,1.0902823168350466
40.0,-323470.178,900.164,0.004096802247915085,0.999,3634796.752,1.31e-14,1.31e-11,-2.026477241788617e-06,-5.339884682595989,3.6006547030721885,1.0242005619787713
50.0,-362066.378,869.088,0.003961269775787072,0.998,6834707.205,1.29e-14,1.29e-11,-2.3746279833143103e-06,-5.88578294758404,3.476353261185873,0.9903174439467679
60.0,-348504.972,899.555,0.0035496017626137594,0.998,10699567.766,1.27e-14,1.27e-11,-2.655281833053645e-06,-5.577492998133245,3.5982216339064834,0.8874004406534398
120.0,-506896.174,946.973,0.0028690370304624998,0.997,46392055.981,1.09e-14,1.09e-11,-4.115064619038235e-06,-6.962606408490176,3.7878916869493175,0.7172592576156249
180.0,-724592.813,1017.878,0.0025744409807145624,0.994,169478837.081,8.48e-15,8.48e-12,-4.978060989016125e-06,-7.743123910201866,4.071510379834927,0.6436102451786406
240.0,-1178430.218,969.966,0.002698038732277782,0.994,385410985.26,6.01e-15,6.01e-12,-5.5208301947461714e-06,-8.92492708814434,3.8798655580835084,0.6745096830694455
300.0,-1444873.418,1136.172,0.0022520684384842414,0.995,624262793.78,3.92e-15,3.92e-12,-4.980350442374221e-06,-7.137435602127887,4.544687823668579,0.5630171096210603
